index,id,Name,issueOpenScore,pullRequestMergeScore,commitRatioScore,averageCommitPerDayScore,totalScore
1,201879384,othhotro/Roo.Exe,0.0,0.0,1.0,1.0,0.50617284
2,202939581,2aef/a2ch,0.0,0.0,0.9694541,0.9694541,0.4908999
3,161947323,timvideos/yosys,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
4,168257425,zatoichi-labs/substrate,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
5,128210976,Pandinosaurus/sqlite,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
6,202894961,IMULMUL/Privexec,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
7,192235660,monocilindro/MB-System,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
8,41481804,sadlil/archiva,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
9,205388952,jacebenson/hugoDocs,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
10,202557561,bruvv/valetudoRE,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
11,201594566,nutterthanos/tch-nginx-gui,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
12,153886130,Huevos/enigma2-1,0.0,1.0,5.6047527E-5,5.6047527E-5,0.17286754
13,205615484,xiaolcqbug/aiai,0.0,0.0,6.850254E-5,0.0018495684,0.1672946
14,194797726,icumedtestorganization/Tooltest,0.0,1.0,0.0,0.0,0.16666667
15,96171852,jasongornall/always-green,1.0,0.0,0.0,0.0,0.16666667
16,205614120,symphonyDev/DevPublicRepoAKf6hf07,0.0,0.8,1.12095055E-4,2.2419011E-4,0.14577243
17,15783450,jlord/patchwork,0.0,0.8,2.8023764E-4,2.8023764E-4,0.1396463
18,201292513,nanbowaner/RSSHub,0.0,0.8,1.12095055E-4,1.12095055E-4,0.13956223
19,202899617,IMULMUL/60_Days_RL_Challenge,0.0,0.8,1.12095055E-4,1.12095055E-4,0.13956223
20,144644801,sicsbd/angular-auth-oidc-client,0.0,0.75,1.6814258E-4,1.6814258E-4,0.13125691
21,193857909,liranmauda/noobaa-core,0.0,0.75,1.6814258E-4,1.6814258E-4,0.13125691
22,197107003,aananthraj/botkube,0.0,0.6666667,1.4011882E-4,2.8023764E-4,0.123573564
23,60525392,demisto/content,0.0,3.809395E-6,1.8289193E-4,1.02204314E-4,0.11791126
24,69333906,bgruening/staged-recipes,0.0,0.6666667,2.8023764E-4,2.8023764E-4,0.11742408
25,184922672,JamieMagee/scoop-extras,0.0,0.6666667,2.2419011E-4,2.2419011E-4,0.11739605
26,201074578,canewsin/engine,0.0,0.6666667,2.2419011E-4,2.2419011E-4,0.11739605
27,189211741,fakegit/jellyfin,0.0,0.6666667,1.6814258E-4,1.6814258E-4,0.11736802
28,169527617,osmaelo/Vim,0.0,0.6666667,1.6814258E-4,1.6814258E-4,0.11736802
29,194981522,Azureki/RSSHub,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
30,184294714,NavePnow/RSSHub,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
31,202901630,IMULMUL/RSSHub,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
32,151995206,5H3LL3H5/dry-wit,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
33,151706048,KernelPanicAUS/homebrew-cask,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
34,98636154,oondeo/charts,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
35,163650154,tgly307/RSSHub,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
36,191882275,kt286/RSSHub,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
37,183417482,tesamamen75z/coreclr,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
38,99745040,stackriot/react-starter-kit,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
39,83532990,Mattlk13/bitnami-docker-owncloud,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
40,199895793,dongbum/phpsysinfo,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
41,188971904,hanahmily/charts,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
42,168326134,Potapy4/dotnet-cli,0.0,0.6666667,1.12095055E-4,1.12095055E-4,0.117340006
